hanzi,pinyin,meaning
环保科学,[huan2 bao3 ke1 xue2],environmental science
环保筷,[huan2 bao3 kuai4],reusable chopsticks (Tw)
环保部,[Huan2 bao3 bu4],Ministry of Environmental Protection
环保斗士,[huan2 bao3 dou4 shi4],an environmental activist
环化,[huan2 hua4],to cyclize
环围,[huan2 wei2],to form a ring around
环城,[huan2 cheng2],encircling the city (of walls, ring road etc)
环境,[huan2 jing4],environment
环境保护,[huan2 jing4 bao3 hu4],environmental protection
环境保护部,[Huan2 jing4 Bao3 hu4 bu4],(PRC) Ministry of Environmental Protection (MEP)
环境因素,[huan2 jing4 yin1 su4],environmental factor
环境影响,[huan2 jing4 ying3 xiang3],environmental impact
环境影响评估,[huan2 jing4 ying3 xiang3 ping2 gu1],environmental impact assessment EIA
环境损害,[huan2 jing4 sun3 hai4],environmental damage
环境污染,[huan2 jing4 wu1 ran3],environmental pollution
环境温度,[huan2 jing4 wen1 du4],environmental temperature
环境行动主义,[huan2 jing4 xing2 dong4 zhu3 yi4],environmentalism
环境卫生,[huan2 jing4 wei4 sheng1],environmental sanitation
环太平洋,[Huan2 Tai4 ping2 yang2],Pacific Rim
环太平洋地震带,[Huan2 Tai4 ping2 yang2 di4 zhen4 dai4],Pacific rim seismic belt
环太平洋火山带,[Huan2 Tai4 ping2 yang2 huo3 shan1 dai4],Pacific rim volcanic belt
环岛,[huan2 dao3],roundabout (traffic island)
环带,[huan2 dai4],clitellum (worm anatomy)
环幕,[huan2 mu4],360° cinema screen
环形,[huan2 xing2],ring-shaped
环形公路,[huan2 xing2 gong1 lu4],ring road
环形山,[huan2 xing2 shan1],crater
环形结构,[huan2 xing2 jie2 gou4],ring configuration
环形路,[huan2 xing2 lu4],circular road
环戊烯,[huan2 wu4 xi1],cyclopentene C5H8 (ring of five carbon atoms)
环抱,[huan2 bao4],to encircle
环极涡旋,[huan2 ji2 wo1 xuan2],circumpolar vortex
环氧乙烷,[huan2 yang3 yi3 wan2],ethylene oxide
环氧树脂,[huan2 yang3 shu4 zhi1],epoxy resin (chemistry)
环江,[Huan2 jiang1],Huanjiang Maonanzu autonomous county in Guangxi
环江毛南族自治县,[Huan2 jiang1 Mao2 nan2 zu2 zi4 zhi4 xian4],Huanjiang Maonan autonomous county in Hezhou 賀州|贺州[He4 zhou1], Guangxi
环江县,[Huan2 jiang1 xian4],Huanjiang Maonan autonomous county in Hezhou 賀州|贺州[He4 zhou1], Guangxi
环法,[Huan2 Fa3],Tour de France cycle race
环法自行车赛,[Huan2 Fa3 Zi4 xing2 che1 sai4],Tour de France cycle race
环渤海湾地区,[Huan2 Bo2 hai3 Wan1 Di4 qu1],Bohai Economic Rim (economic region including Beijing, Tianjin, Hebei, Liaoning and Shandong)
环烃,[huan2 ting1],cyclic hydrocarbon (i.e. involving benzene ring)
环烷烃,[huan2 wan2 ting1],cycloalkane
环状,[huan2 zhuang4],annular
环状列石,[huan2 zhuang4 lie4 shi2],circular standing stones
环球,[huan2 qiu2],around the world
环球化,[huan2 qiu2 hua4],globalization
环球唱片,[Huan2 qiu2 Chang4 pian4],Universal Records
环球定位系统,[huan2 qiu2 ding4 wei4 xi4 tong3],global positioning system (GPS)
环球旅行,[huan2 qiu2 lu:3 xing2],journey around the world
环球时报,[Huan2 qiu2 Shi2 bao4],Global Times (weekly digest of international news from People's Daily 人民日報|人民日报[Ren2 min2 Ri4 bao4])
环球音乐集团,[Huan2 qiu2 Yin1 yue4 Ji2 tuan2],Universal Music Group
环环相扣,[huan2 huan2 xiang1 kou4],closely linked with one another
环礁,[huan2 jiao1],atoll
环秀山庄,[huan2 xiu4 shan1 zhuang1],Mountain Villa with Embracing Beauty in Suzhou, Jiangsu
环箍,[huan2 gu1],a hoop
环节,[huan2 jie2],round segment
环节动物,[huan2 jie2 dong4 wu4],annelid (worm)
环节动物门,[huan2 jie2 dong4 wu4 men2],Annelidan, the phylum of annelid worms
环线,[huan2 xian4],ring road
环县,[Huan2 xian4],Huan county in Qingyang 慶陽|庆阳[Qing4 yang2], Gansu
环绕,[huan2 rao4],to surround
环翠,[Huan2 cui4],Huancui district of Weihai city 威海市, Shandong
环翠区,[Huan2 cui4 qu1],Huancui district of Weihai city 威海市, Shandong
环肌,[huan2 ji1],circular muscle
环卫,[huan2 wei4],public cleanliness
环卫工人,[huan2 wei4 gong1 ren2],sanitation worker
环评,[huan2 ping2],environmental impact assessment (EIA)
环路,[huan2 lu4],ring road
环游,[huan2 you2],to travel around (the world, a country etc)
环面,[huan2 mian4],ring surface
环颈山鹧鸪,[huan2 jing3 shan1 zhe4 gu1],(bird species of China) hill partridge (Arborophila torqueola)
环颈鸻,[huan2 jing3 heng2],(bird species of China) Kentish plover (Charadrius alexandrinus)
环顾,[huan2 gu4],to look around
璱,[se4],bright (of jade)
璲,[sui4],pendant girdle-ornaments
玙,[yu2],ornamental jade
璸,[bin1],(pearl)
璺,[wen4],a crack, as in porcelain
玺,[xi3],ruler's seal
玺印,[xi3 yin4],seal (esp. of ruler)
璇,[xuan2],variant of 璇[xuan2]
瓀,[ruan3],opaque
瓁,[wo4],uncarved jade
瓅,[li4],brilliance (pearls)
璃,[li2],variant of 璃[li2]
琼,[qiong2],jasper
琼中,[Qiong2 zhong1],Qiongzhong Li and Miao autonomous county, Hainan
琼中县,[Qiong2 zhong1 xian4],Qiongzhong Li and Miao autonomous county, Hainan
琼中黎族苗族自治县,[Qiong2 zhong1 Li2 zu2 Miao2 zu2 zi4 zhi4 xian4],Qiongzhong Li and Miao autonomous county, Hainan
琼山,[Qiong2 shan1],Qiongshan district of Haikou city 海口市[Hai3 kou3 shi4], Hainan
琼山区,[Qiong2 shan1 qu1],Qiongshan district of Haikou city 海口市[Hai3 kou3 shi4], Hainan
琼山市,[Qiong2 shan1 shi4],Qiongshan city, Hainan
琼崖,[Qiong2 ya2],Qiongya, historic name for Hainan Island 海南島|海南岛[Hai3 nan2 Dao3]
琼州,[Qiong2 zhou1],Qiongzhou, historic name for Hainan Island 海南島|海南岛[Hai3 nan2 dao3]
琼州海峡,[Qiong2 zhou1 Hai3 xia2],Qiongzhou Strait (between Hainan Island and Mainland China)
琼斯,[Qiong2 si1],Jones (name)
琼斯顿,[Qiong2 si1 dun4],Johnston (name)
琼楼玉宇,[qiong2 lou2 yu4 yu3],bejeweled jade palace (idiom); sumptuous dwelling
琼海,[Qiong2 hai3],Qionghai City, Hainan
琼海市,[Qiong2 hai3 Shi4],Qionghai City, Hainan
琼浆玉液,[qiong2 jiang1 yu4 ye4],bejeweled nectar (idiom); ambrosia of the immortals
琼瑛,[qiong2 ying1],jade-like stone
琼瑶,[Qiong2 Yao2],Chiung Yao (1938-), Taiwanese writer
琼筵,[qiong2 yan2],banquet
琼结,[Qiong2 jie2],Qonggyai county, Tibetan: 'Phyongs rgyas, in Lhokha prefecture 山南地區|山南地区[Shan1 nan2 di4 qu1], Tibet
琼结县,[Qiong2 jie2 xian4],Qonggyai county, Tibetan: 'Phyongs rgyas rdzong, in Lhokha prefecture 山南地區|山南地区[Shan1 nan2 di4 qu1], Tibet
琼脂,[qiong2 zhi1],agar
瑰,[gui1],old variant of 瑰[gui1]
珑,[long2],tinkling of gem-pendants
璎,[ying1],necklace
璎珞,[ying1 luo4],jade or pearl necklace
瓖,[xiang1],ornaments
瓘,[guan4],jade used for making goblets
瓒,[zan4],libation cup
瓛,[huan2],(old) jade tablet or scepter held by a duke at ceremonies
瓜,[gua1],melon
瓜代,[gua1 dai4],a changeover of personnel
瓜分,[gua1 fen1],to partition
瓜地马拉,[Gua1 di4 ma3 la1],Guatemala (Tw)
瓜子,[gua1 zi3],melon seeds
瓜子脸,[gua1 zi3 lian3],oval face
瓜州,[Gua1 zhou1],Guazhou county in Jiuquan 酒泉, Gansu
瓜州县,[Gua1 zhou1 xian4],Guazhou county in Jiuquan 酒泉[Jiu3 quan2], Gansu
瓜德罗普,[Gua1 de2 luo2 pu3],Guadeloupe
瓜拉丁加奴,[Gua1 la1 Ding1 jia1 nu2],Kuala Terengganu, capital of Terengganu state, Malaysia
瓜拿纳,[gua1 na2 na4],guarana (Paullinia cupana)
瓜果,[gua1 guo3],fruit (plural sense)
瓜无滚圆，人无十全,[gua1 wu2 gun3 yuan2 , ren2 wu2 shi2 quan2],no gourd is perfectly round, just as no man is perfect (proverb)
瓜熟蒂落,[gua1 shu2 di4 luo4],when the melon is ripe, it falls (idiom); problems sort themselves out in the fullness of time
瓜田不纳履，李下不整冠,[gua1 tian2 bu4 na4 lu:3 , li3 xia4 bu4 zheng3 guan1],lit. don't tie your shoelaces in a melon patch, and don't adjust your hat under a plum tree (idiom)
瓜田李下,[gua1 tian2 li3 xia4],abbr. for 瓜田不納履，李下不整冠|瓜田不纳履，李下不整冠[gua1 tian2 bu4 na4 lu:3 , li3 xia4 bu4 zheng3 guan1]
瓜皮帽,[gua1 pi2 mao4],Chinese skullcap resembling the skin of half a watermelon
瓜脐,[gua1 qi2],the umbilicus of a melon
瓜菜,[gua1 cai4],fruit and vegetables
瓜葛,[gua1 ge2],intertwined (as melon and vine plants)
瓜蒂,[gua1 di4],stem or pedicel of a melon
瓜农,[gua1 nong2],melon farmer
瓜达卡纳尔岛,[Gua1 da2 ka3 na4 er3 dao3],Guadalcanal Island
瓜达卡纳尔战役,[Gua1 da2 ka3 na4 er3 zhan4 yi4],battle of Guadalcanal of late 1942, the turning point of the war in the Pacific
瓜达拉哈拉,[Gua1 da2 la1 ha1 la1],Guadalajara
瓜达拉马,[Gua1 da2 la1 ma3],Sierra de Guadarrama (mountain range across Iberia, passing north of Madrid)
瓜达拉马山,[Gua1 da2 la1 ma3 shan1],Sierra de Guadarrama (mountain range across Iberia, passing north of Madrid)
瓜达尔,[Gua1 da2 er3],Gwadar, free trade port city in Pakistani province of Baluchistan
瓜达尔港,[Gua1 da2 er3 Gang3],Gwadar Port on Arabian Sea in Pakistani province of Baluchistan
瓞,[die2],young melon
瓠,[hu4],gourd
瓠瓜,[hu4 gua1],bottle gourd
瓢,[piao2],dipper
瓢泼,[piao2 po1],(of rain) pouring
瓢泼大雨,[piao2 po1 da4 yu3],downpour (idiom)
瓢泼而下,[piao2 po1 er2 xia4],(of rain) to fall heavily
瓢虫,[piao2 chong2],ladybug
瓣,[ban4],petal
瓣胃,[ban4 wei4],omasum (third compartment of a ruminant's stomach)
瓣膜,[ban4 mo2],valve (biological)
瓣鳃纲,[ban4 sai1 gang1],Lamellibranchia
瓤,[rang2],pulp (of fruit)
瓤儿,[rang2 r5],erhua variant of 瓤[rang2]
瓦,[wa3],roof tile
瓦利,[Wa3 li4],Váli (son of Odin)
瓦利斯和富图纳,[Wa3 li4 si1 he2 Fu4 tu2 na4],Wallis and Futuna (French island collectivity in the South Pacific)
瓦剌,[Wa3 la4],Oirat Mongols (alliance of tribes of Western Mongolia) (Ming Dynasty term)
瓦加杜古,[Wa3 jia1 du4 gu3],Ouagadougou, capital of Burkina Faso
瓦努阿图,[Wa3 nu3 a1 tu2],Vanuatu in south pacific (formerly New Hebrides)
瓦勒他,[Wa3 le4 ta1],Valletta, capital of Malta (Tw)
瓦匠,[wa3 jiang5],bricklayer
瓦哈比教派,[wa3 ha1 bi3 jiao4 pai4],Wahhabism (a conservative sect of Islam)
瓦器,[wa3 qi4],pottery
瓦城,[Wa3 cheng2],another name for Mandalay 曼德勒, Myanmar's second city
瓦工,[wa3 gong1],tiling
瓦德瑟,[Wa3 de2 se4],Vadsø (city in Finnmark, Norway)
瓦德西,[Wa3 de2 xi1],Waldersee (name)
瓦房店,[Wa3 fang2 dian4],Wangfangdian county level city in Dalian 大連|大连[Da4 lian2], Liaoning
瓦房店市,[Wa3 fang2 dian4 shi4],Wangfangdian county level city in Dalian 大連|大连[Da4 lian2], Liaoning
瓦斯,[wa3 si1],gas (loanword)
瓦杜兹,[Wa3 du4 zi1],Vaduz, capital of Liechtenstein
瓦楞,[wa3 leng2],rows of tiles
瓦尔基里,[wa3 er3 ji1 li3],valkyrie
瓦尔德,[Wa3 er3 de2],Vardø (city in Finnmark, Norway)
瓦尔特,[Wa3 er3 te4],Walter
瓦尔纳,[Wa3 er3 na4],Varna (city in Bulgaria)
瓦尔达克,[wa3 er3 da2 ke4],Wardak (Afghan province)
瓦尔达克省,[wa3 er3 da2 ke4 sheng3],Wardak (Afghan province)
瓦片,[wa3 pian4],tile
瓦特,[wa3 te4],watt (loanword)
瓦当,[wa3 dang1],eaves-tile
瓦砚,[wa3 yan4],ink stone or ink slab made from an antique palace tile
瓦砾,[wa3 li4],rubble
瓦砾堆,[wa3 li4 dui1],pile of rubble
瓦罕走廊,[Wa3 han3 zou3 lang2],Wakhan Corridor, joining Afghanistan and China (Xinjiang), and dividing Tajikistan from Pakistan
瓦良格,[Wa3 liang2 ge2],Varyag, former Soviet aircraft carrier purchased by China, renamed 遼寧號|辽宁号[Liao2 ning2 Hao4]
瓦莱塔,[Wa3 lai2 ta3],Valletta, capital of Malta
瓦萨比,[wa3 sa4 bi3],wasabi (loanword)
瓦西里,[Wa3 xi1 li3],Vasily (name)
瓦西里耶维奇,[Wa3 xi1 li3 ye1 wei2 qi2],Vasilievich (name)
瓦解,[wa3 jie3],to collapse
瓦解冰泮,[wa3 jie3 bing1 pan4],complete disintegration
瓦赫基尔河,[Wa3 he4 ji1 er3 He2],Vakhsh river (upper reaches of Amu Darya)
瓦都兹,[Wa3 du1 zi1],Vaduz, capital of Liechtenstein (Tw)
瓦里斯,[Wa3 li3 si1],Wallis (name)
瓦隆,[Wa3 long1],Walloon, inhabitant of Southern French-speaking area of Belgium
瓧,[shi2 wa3],deciwatt (old)
瓩,[qian1 wa3],kilowatt (old)
瓬,[fang3],potter
瓮,[weng4],variant of 甕|瓮[weng4]
瓰,[fen1 wa3],deciwatt (old)
瓱,[hao2 wa3],milliwatt (old)
瓴,[ling2],concave channels of tiling
瓵,[yi2],earthen jar
瓶,[ping2],bottle
瓶塞,[ping2 sai1],bottle cork
瓶塞钻,[ping2 sai1 zuan4],corkscrew
瓶子,[ping2 zi5],bottle
瓶盂,[ping2 yu2],jar
瓶胚,[ping2 pei1],preform
瓶装,[ping2 zhuang1],bottled
瓶领,[ping2 ling3],bottleneck
瓶颈,[ping2 jing3],bottleneck
瓶鼻海豚,[ping2 bi2 hai3 tun2],bottle-nosed dolphin (Tursiops truncatus)
瓷,[ci2],chinaware
瓷器,[ci2 qi4],chinaware
瓷瓶,[ci2 ping2],porcelain bottle
瓷砖,[ci2 zhuan1],ceramic tile
瓷釉,[ci2 you4],porcelain glaze
瓸,[bai3 wa3],hectowatt (old)
瓻,[chi1],large wine jar
瓼,[li3 wa3],centiwatt (old)
瓿,[bu4],a kind of vase (old)
甀,[zhui4],vase with a small mouth
甁,[ping2],variant of 瓶[ping2]
甃,[zhou4],brickwork of well
甄,[Zhen1],surname Zhen
甄,[zhen1],to distinguish
甄别,[zhen1 bie2],to screen
甄别考试,[zhen1 bie2 kao3 shi4],to screen
甄审,[zhen1 shen3],to screen and select (candidates etc)
甄拔,[zhen1 ba2],to select
甄汰,[zhen1 tai4],to eliminate by examination
甄用,[zhen1 yong4],to employ by examination
甄综,[zhen1 zong1],to comprehensively appraise and select
甄藻,[zhen1 zao3],to discern talent
甄试,[zhen1 shi4],selection test
甄选,[zhen1 xuan3],to select
甄录,[zhen1 lu4],to employ by an examination
甄陶,[zhen1 tao2],to make sth of clay
甇,[ying1],earthen jar with long neck
甋,[di4],a jar without ears
瓯,[Ou1],old name for Wenzhou City 溫州市|温州市[Wen1 zhou1 shi4] in Zhejiang 浙江[Zhe4 jiang1]
瓯,[ou1],(pottery) bowl or drinking vessel
瓯海,[Ou1 hai3],Ouhai district of Wenzhou city 溫州市|温州市[Wen1 zhou1 shi4], Zhejiang
瓯海区,[Ou1 hai3 qu1],Ouhai district of Wenzhou city 溫州市|温州市[Wen1 zhou1 shi4], Zhejiang
甍,[meng2],rafters supporting tiles
砖,[zhuan1],variant of 磚|砖[zhuan1]
甏,[bang4],a squat jar for holding wine, sauces etc
甑,[zeng4],cauldron
甒,[wu3],vase
甓,[pi4],glazed tile
甔,[dan1],big jar
瓮,[Weng4],surname Weng
瓮,[weng4],pottery container for water, wine etc
瓮中之鳖,[weng4 zhong1 zhi1 bie1],lit. like a turtle in a jar
瓮中捉鳖,[weng4 zhong1 zhuo1 bie1],to catch a turtle in a jar (idiom); to set oneself an easy target
瓮城,[weng4 cheng2],enceinte of a city gate
瓮安,[Weng4 an1],Wengan county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qian2 nan2 zhou1], Guizhou
瓮安县,[Weng4 an1 xian4],Wengan county in Qiannan Buyei and Miao autonomous prefecture 黔南州[Qian2 nan2 zhou1], Guizhou
瓮棺,[weng4 guan1],funerary urn
瓮棺葬,[weng4 guan1 zang4],urn burial
瓮声瓮气,[weng4 sheng1 weng4 qi4],to speak in a low muffled voice (idiom)
瓮菜,[weng4 cai4],variant of 蕹菜[weng4 cai4]
罂,[ying1],variant of 罌|罂[ying1]
甗,[yan3],earthenware vessel
甘,[Gan1],surname Gan
甘,[gan1],sweet
甘丹寺,[Gan1 dan1 si4],Ganden monastery, Tibetan: dGa' ldan rNam rgyal gling, Dagzê county 達孜縣|达孜县[Da2 zi1 xian4], Lhasa, Tibet
甘之如饴,[gan1 zhi1 ru2 yi2],lit. as sweet as syrup (idiom, from Book of Songs); to endure hardship gladly
甘井子区,[Gan1 jing3 zi5 qu1],Ganjingzi district of Dalian 大連市|大连市[Da4 lian2 shi4], Liaoning
甘南,[Gan1 nan2],Gannan county in Qiqihar 齊齊哈爾|齐齐哈尔[Qi2 qi2 ha1 er3], Heilongjiang
甘南州,[Gan1 nan2 zhou1],Gannan Tibetan autonomous prefecture
甘南县,[Gan1 nan2 xian4],Gannan county in Qiqihar 齊齊哈爾|齐齐哈尔[Qi2 qi2 ha1 er3], Heilongjiang
甘南藏族自治州,[Gan1 nan2 Zang4 zu2 zi4 zhi4 zhou1],Gannan Tibetan autonomous prefecture in Gansu
甘味,[gan1 wei4],sweetness
甘味剂,[gan1 wei4 ji4],sweetener
甘味料,[gan1 wei4 liao4],sweetener
甘地,[Gan1 di4],(Mahatma) Gandhi
甘孜,[Gan1 zi1],Garze or Kandze, capital of Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gan1 zi1 Zang4 zu2 zi4 zhi4 zhou1], formerly in Kham province of Tibet, present Sichuan
甘孜州,[Gan1 zi1 zhou1],Garze or Kandze, Tibetan autonomous prefecture (Tibetan: dkar mdzes bod rigs rang skyong khul), formerly in Kham province of Tibet, present Sichuan
甘孜县,[Gan1 zi1 xian4],Garzê county (Tibetan: dkar mdzes rdzong) in Garze Tibetan autonomous prefecture 甘孜藏族自治州[Gan1 zi1 Zang4 zu2 zi4 zhi4 zhou1], Sichuan (formerly in Kham province of Tibet)
甘孜藏族自治州,[Gan1 zi1 Zang4 zu2 zi4 zhi4 zhou1],Garze or Kandze, Tibetan autonomous prefecture (Tibetan: dkar mdzes bod rigs rang skyong khul), formerly in Kham province of Tibet, present Sichuan
甘州,[Gan1 zhou1],Ganzhou district of Zhangye city 張掖市|张掖市[Zhang1 ye4 shi4], Gansu
甘州区,[Gan1 zhou1 qu1],Ganzhou district of Zhangye city 張掖市|张掖市[Zhang1 ye4 shi4], Gansu
甘巴里,[Gan1 ba1 li3],Professor Ibrahim Gambari (1944-), Nigerian scholar and diplomat, ambassador to UN 1990-1999, UN envoy to Burma from 2007
甘德,[Gan1 de2],Gadê or Gande county (Tibetan: dga' bde rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guo3 luo4 zhou1], Qinghai
甘德县,[Gan1 de2 xian4],Gadê or Gande county (Tibetan: dga' bde rdzong) in Golog Tibetan autonomous prefecture 果洛州[Guo3 luo4 zhou1], Qinghai
甘心,[gan1 xin1],to be willing to
甘心情愿,[gan1 xin1 qing2 yuan4],willingly and gladly (idiom)
甘托克,[Gan1 tuo1 ke4],Gantok, capital of Sikkim, India
甘拜下风,[gan1 bai4 xia4 feng1],to step down gracefully (humble expression)
甘于,[gan1 yu2],to be willing to
甘比亚,[Gan1 bi3 ya4],Gambia (Tw)
甘氨酸,[gan1 an1 suan1],glycine (Gly), an amino acid
甘汞,[gan1 gong3],calomel or mercurous chloride (Hg2Cl2)
甘油,[gan1 you2],glycerine
甘油三脂,[gan1 you2 san1 zhi1],triglyceride
甘油三酯,[gan1 you2 san1 zhi3],triglyceride
甘油栓剂,[gan1 you2 shuan1 ji4],glycerine suppository
甘油醛,[gan1 you2 quan2],glyceraldehyde (CH20)3
甘泉,[Gan1 quan2],Ganquan county in Yan'an 延安[Yan2 an1], Shaanxi
甘泉县,[Gan1 quan2 xian4],Ganquan county in Yan'an 延安[Yan2 an1], Shaanxi
甘洛,[Gan1 luo4],Ganluo county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liang2 shan1 Yi2 zu2 zi4 zhi4 zhou1], south Sichuan
甘洛县,[Gan1 luo4 xian4],Ganluo county in Liangshan Yi autonomous prefecture 涼山彞族自治州|凉山彝族自治州[Liang2 shan1 Yi2 zu2 zi4 zhi4 zhou1], south Sichuan
甘甜,[gan1 tian2],sweet
甘糖醇,[gan1 tang2 chun2],mannitol C6H14O6, a sugar alcohol
甘纳许,[gan1 na4 xu3],ganache (loanword)
甘肃,[Gan1 su4],Gansu province, abbr. 甘[Gan1], short name 隴|陇[Long3], capital Lanzhou 蘭州|兰州[Lan2 zhou1]
甘肃柳莺,[Gan1 su4 liu3 ying1],(bird species of China) Gansu leaf warbler (Phylloscopus kansuensis)
甘肃省,[Gan1 su4 Sheng3],Gansu Province, abbr. 甘[Gan1], short name 隴|陇[Long3], capital Lanzhou 蘭州|兰州[Lan2 zhou1]
甘苦,[gan1 ku3],good times and hardships
甘草,[gan1 cao3],licorice root
甘菊,[gan1 ju2],chamomile
甘蔗,[gan1 zhe5],sugar cane
甘薯,[gan1 shu3],sweet potato
甘蓝,[gan1 lan2],cabbage
甘蓝菜,[gan1 lan2 cai4],cabbage
甘言蜜语,[gan1 yan2 mi4 yu3],sweet speech and honeyed words
甘谷,[Gan1 gu3],Gangu county in Tianshui 天水[Tian1 shui3], Gansu
甘谷县,[Gan1 gu3 xian4],Gangu county in Tianshui 天水[Tian1 shui3], Gansu
甘露糖醇,[gan1 lu4 tang2 chun2],mannitol C6H14O6, a sugar alcohol
甘露醇,[gan1 lu4 chun2],mannitol C6H14O6, a sugar alcohol
甘愿,[gan1 yuan4],willingly
甙,[dai4],glucoside
甚,[shen2],variant of 什[shen2]
甚,[shen4],what
甚且,[shen4 qie3],even
甚嚣尘上,[shen4 xiao1 chen2 shang4],clamor raises the dust (idiom); a tremendous clamor
甚巨,[shen4 ju4],considerable
甚微,[shen4 wei1],very small
甚感诧异,[shen4 gan3 cha4 yi4],amazed
甚或,[shen4 huo4],so much so that
甚浓,[shen4 nong2],strong (smell)
甚为,[shen4 wei2],very
甚而,[shen4 er2],even
甚至,[shen4 zhi4],even
甚至于,[shen4 zhi4 yu2],so much (that)
甚钜,[shen4 ju4],considerable
甚高频,[shen4 gao1 pin2],very high frequency (VHF)
甚么,[shen2 me5],variant of 什麼|什么[shen2 me5]
什么事,[shen2 me5 shi4],what?
什么人,[shen2 me5 ren2],who?
什么时候,[shen2 me5 shi2 hou5],when?
什么样,[shen2 me5 yang4],what kind?
